method,param,eps,mis_mean,mis_std,red_mean,red_std,psnr_mean,n
bits,4.0,0.004,0.18723993500073746,0.17471499180475603,-116.55288873244264,77.63703354866679,34.41033601760864,6
bits,4.0,0.008,0.16508731245994565,0.1363185400104674,16.649971170986245,32.29904977112287,34.41033601760864,6
bits,4.0,0.016,0.26796198387940723,0.17893474000597576,25.823520579681674,14.47752852043631,34.41033601760864,6
bits,4.0,0.031,0.4276556173960368,0.169772715291837,22.035245404724147,17.59592322086758,34.41033601760864,6
bits,4.0,0.063,0.5388779292503992,0.12863723086844717,16.23205478746898,18.406655426475893,34.41033601760864,6
bits,6.0,0.004,0.10648356874783826,0.11520880857028186,-8.824732498811645,37.69582558896082,46.82142893473307,6
bits,6.0,0.008,0.2039382656415303,0.19289702079921842,11.833841360347714,9.850519280074375,46.82142893473307,6
bits,6.0,0.016,0.32084570825099945,0.1875242503502545,9.079849268541103,9.060010703490379,46.82142893473307,6
bits,6.0,0.031,0.5074664304653803,0.1466543541772076,6.88545779118623,6.668697165383254,46.82142893473307,6
bits,6.0,0.063,0.6089690824349722,0.07543893133157004,5.5131950310841695,8.369057194322625,46.82142893473307,6
blur,0.5,0.004,0.10483803351720167,0.0772054647956457,-30.978473929554852,63.317936154554246,42.05092748006185,6
blur,0.5,0.008,0.23023558656374613,0.1556661528628815,-20.032659431367808,26.421087487412702,42.05092748006185,6
blur,0.5,0.016,0.36643341680367786,0.14993051854786998,-12.006971302890312,15.188822976516736,42.05092748006185,6
blur,0.5,0.031,0.5750630100568136,0.11136278569921756,-7.759808719617721,10.83982126207314,42.05092748006185,6
blur,0.5,0.063,0.6738442877928416,0.08796374726472189,-4.288046510142011,7.866411735226715,42.05092748006185,6
blur,1.0,0.004,0.28739022215207416,0.12201955892363901,-526.1486209246208,580.0043520493383,33.09964577356974,6
blur,1.0,0.008,0.4125787317752838,0.18301171405495206,-257.2809132553534,416.4566734166316,33.09964577356974,6
blur,1.0,0.016,0.5371444473663965,0.16890206493544668,-91.74715463135188,114.69063038845857,33.09964577356974,6
blur,1.0,0.031,0.7581511481354634,0.1936507025641534,-50.768548926815804,65.39442387923079,33.09964577356974,6
blur,1.0,0.063,0.7724226557960113,0.1766700071492155,-20.29548026488801,28.381140129128244,33.09964577356974,6
blur,1.5,0.004,0.4721326803167661,0.18618873991068852,-988.9583601214418,1035.6008200487222,30.454116662343342,6
blur,1.5,0.008,0.5298662309845289,0.1999538651162564,-363.22502957227675,498.88220071079763,30.454116662343342,6
blur,1.5,0.016,0.621128703157107,0.16050592393234303,-126.0322659388769,130.0867933655934,30.454116662343342,6
blur,1.5,0.031,0.7455415241420269,0.1484690615438948,-46.82736195855389,52.769157396892275,30.454116662343342,6
blur,1.5,0.063,0.7637925688177347,0.1398256258787461,-19.195291800638316,25.00724086705063,30.454116662343342,6
jpeg,50.0,0.004,0.30720368027687067,0.15370975626026068,-419.662967110894,330.8340174098879,33.20803999900818,6
jpeg,50.0,0.008,0.3357439537843068,0.14626663293787934,-157.94087192185063,240.39281594846324,33.20803999900818,6
jpeg,50.0,0.016,0.4743228107690811,0.133467444679915,-60.90855054016407,68.82894845276958,33.20803999900818,6
jpeg,50.0,0.031,0.7584874449918667,0.1992959450349357,-49.120681318829725,59.16161406627412,33.20803999900818,6
jpeg,50.0,0.063,0.7792953023066124,0.1813977922709756,-20.969455250530128,27.815758669637546,33.20803999900818,6
jpeg,75.0,0.004,0.25227284431457514,0.22427267286114977,-221.1596971677161,164.28743193549798,35.1278030872345,6
jpeg,75.0,0.008,0.24467565615971879,0.1982346484066566,-41.73264150872878,75.19627928251981,35.1278030872345,6
jpeg,75.0,0.016,0.4059865226348241,0.1750684669750294,-29.019956555577938,43.003122383958285,35.1278030872345,6
jpeg,75.0,0.031,0.6537092278401057,0.1257203053000983,-25.650802201797543,35.70392620706744,35.1278030872345,6
jpeg,75.0,0.063,0.7209967573483785,0.1358844844361258,-11.354000719154689,17.149753312364474,35.1278030872345,6
jpeg,90.0,0.004,0.2945602635542552,0.1969836616584866,-388.26879349923666,412.8883785536199,37.92816917101542,6
jpeg,90.0,0.008,0.27822936574618023,0.18737433405584222,-72.27168728381173,126.73307466047675,37.92816917101542,6
jpeg,90.0,0.016,0.4088088075319926,0.17307059501981475,-32.93220436267922,64.6985989694155,37.92816917101542,6
jpeg,90.0,0.031,0.6789446473121643,0.13639369141331728,-31.920616503772408,44.474151522302016,37.92816917101542,6
jpeg,90.0,0.063,0.7023403520385424,0.14842521696916217,-8.324291813691913,18.09251886640157,37.92816917101542,6
